ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh,baseline
TATN,2,400,0.52,0.22664810827100504,0.4710820210989227,0.5685374732770901,0.06058115303135838,0.09817728713631396,0.5544895083688998,0.01,0.014874043673328402,0.9065924330840202,momentum5
TATN,3,400,0.4925,0.6368065424084397,0.4438103957369542,0.5413322938720411,0.07477252421182526,-0.015071426473824825,0.5080918231956808,0.0075,0.017082558373160805,0.9393057049703079,momentum5
TATN,5,400,0.4925,0.6368065424084397,0.4438103957369542,0.5413322938720411,0.12483450823191095,0.11643982104418026,0.5540266801048939,0.0075,0.014966747676809056,0.9393057049703079,momentum5
GMKN,1,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,-0.12119177917032616,-0.025453821031032768,0.5308805764557399,0.01,0.0155305139122675,0.9803306938194266,momentum5
GMKN,2,400,0.5525,0.020115369840319038,0.5035012013389867,0.6004999713980469,0.1657271148123426,0.13544839391516728,0.49064121593175675,0.01,0.01409333561243074,0.3218459174451046,momentum5
GMKN,3,400,0.5,0.5199346509818965,0.4512336165999552,0.5487663834000448,0.0550074381790608,0.04200927052634219,0.490792413544311,0.0075,0.016097553506693146,0.9393057049703079,momentum5
GMKN,5,400,0.515,0.291187239767031,0.46611266795606887,0.5636019528259407,0.15974999668481285,0.12950393046296102,0.5077819011500183,0.0075,0.014500627679876374,0.9175413665470995,momentum5
PLZL,1,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,-0.07005125423957567,-0.016159275109363134,0.5609936043552006,0.01,0.017044910949379814,0.9803306938194266,momentum5
PLZL,2,400,0.4975,0.5596055982095516,0.44875800198627125,0.5462895612167272,0.07064116141149432,0.03539496028299068,0.5279836628078863,0.01,0.015906747691768818,0.9393057049703079,momentum5
PLZL,3,400,0.5025,0.4800653490181035,0.4537104387832728,0.5512419980137288,0.03549507990962368,0.03765600587039071,0.6304354367431969,0.0075,0.01676668093530828,0.9393057049703079,momentum5
PLZL,5,400,0.48,0.8023236229954712,0.43146252672290986,0.5289179789010773,0.07152825319915494,0.05312351924410961,0.48066310291986675,0.0075,0.01660399173387908,0.9393057049703079,momentum5
MAGN,1,400,0.4925,0.6368065424084397,0.4438103957369542,0.5413322938720411,0.050737029093632015,0.0776319497668807,0.523367347708184,0.01,0.017646645478790825,0.9393057049703079,momentum5
