ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh,baseline
NVTK,5,500,0.508,0.37713945567770435,0.4642850183794739,0.5515929877240316,0.01609863088527292,-0.008920522652400448,1.6908865816679368,0.018,0.008270808972603235,0.9744984477628461,last
TATN,1,500,0.458,0.9728154910491661,0.41481382806562594,0.50182663989097,-0.0016788628316788438,-0.032097167125613175,1.2895115665854808,0.038,0.006615425001301723,0.9911554664990548,last
TATN,2,500,0.514,0.28051467762142235,0.47025071185469686,0.5575357988264379,0.10000245071382338,0.06428627448130958,1.3631697150074258,0.038,0.006412472517675681,0.9744984477628461,last
TATN,3,500,0.528,0.11360664595976239,0.4841949689615891,0.5713780524006803,0.1003868081132487,0.0815673834604601,1.3684616366350153,0.038,0.006502010323746732,0.9744984477628461,last
TATN,5,500,0.468,0.9300407372185135,0.4246732802775799,0.511814695308398,-0.0013337953148662557,-0.037341193335079584,1.3358343467579537,0.018,0.006899320056349973,0.9911554664990548,last
GMKN,1,500,0.514,0.28051467762142235,0.47025071185469686,0.5575357988264379,-0.019348619522274603,-0.02128874525616395,1.4985513056514956,0.044,0.00731327446209026,0.9744984477628461,last
GMKN,2,500,0.492,0.6563183459598099,0.44840701227596835,0.5357149816205261,-0.008501560409161908,-0.04639385544257869,1.6037748794017241,0.044,0.007246054576617962,0.9911554664990548,last
GMKN,3,500,0.514,0.28051467762142235,0.47025071185469686,0.5575357988264379,-0.04362911263671802,0.04484041182490272,1.6074010047191662,0.046,0.007317225954257231,0.9744984477628461,last
GMKN,5,500,0.448,0.9911554664990547,0.40497189195901473,0.4918210683681993,-0.031652712303440314,-0.11302837724186271,1.5549801843875075,0.022,0.007687519779058517,0.9911554664990548,last
PLZL,1,500,0.466,0.941281892247928,0.4226999925744605,0.5098184814856409,-0.09804414981954898,-0.12063233783808915,1.386997718790403,0.042,0.007238093958012888,0.9911554664990548,last
PLZL,2,500,0.482,0.8022446142825708,0.43850579699662956,0.5257686892704829,-0.022556742730953136,-0.06714757537499741,1.5660028427184105,0.042,0.006842522924857569,0.9911554664990548,last
PLZL,3,500,0.542,0.03330483459228645,0.4981733601090301,0.5851861719343742,0.04787738810451484,0.09259869698482537,1.4287692875842601,0.042,0.006808417918148568,0.7993160302148747,last
PLZL,5,500,0.518,0.22356475076240614,0.4742313107295171,0.5614942030033705,0.03790070845685617,0.042626258231595375,1.393908116106119,0.022,0.006795449030754623,0.9744984477628461,last
MAGN,1,500,0.468,0.9300407372185135,0.4246732802775799,0.511814695308398,-0.012132094032203807,-0.08364666310459805,1.4638885897601344,0.038,0.008131527037480534,0.9911554664990548,last
MAGN,2,500,0.498,0.5533548781086955,0.45435606501666037,0.5416744334574632,0.009382421265157995,-0.01737165558598846,1.6618960220029373,0.038,0.007651880177262669,0.9911554664990548,last
MAGN,3,500,0.506,0.4115454541227596,0.46229784108368,0.5496106634939493,-0.03259276542917406,-0.046456596595270586,1.5627450718056095,0.038,0.007922864915376368,0.9744984477628461,last
MAGN,5,500,0.498,0.5533548781086955,0.45435606501666037,0.5416744334574632,-0.013505134222275813,0.022796800967685372,1.4666732372187354,0.018,0.008097892563664184,0.9911554664990548,last
NLMK,1,500,0.546,0.02203173478946351,0.5021734817218153,0.5891250533733416,-0.02255442634352425,0.037843585420529825,1.5243920205892816,0.038,0.00767028160157416,0.7993160302148747,last
NLMK,2,500,0.504,0.44664512189130445,0.4603113571655595,0.5476276458861933,0.053310591224848256,-0.006932963195183974,1.5908591077779124,0.038,0.007509734668477823,0.9744984477628461,last
NLMK,3,500,0.524,0.1518336564970393,0.4802074191766619,0.5674265991338547,-0.08948909417739404,0.016531955398832395,1.6210869669647496,0.038,0.0077732080848563305,0.9744984477628461,last
NLMK,5,500,0.482,0.8022446142825708,0.43850579699662956,0.5257686892704829,-0.06934511363645057,-0.046612380807039,1.4546211279985513,0.018,0.008022975436497212,0.9911554664990548,last
MOEX,1,500,0.508,0.37713945567770435,0.4642850183794739,0.5515929877240316,-0.0301930467686945,0.004804842863760853,1.573175285652088,0.04,0.0065659011400707535,0.9744984477628461,last
MOEX,2,500,0.518,0.22356475076240614,0.4742313107295171,0.5614942030033705,-0.0683277160437323,-0.03172291137648994,1.5221249065292188,0.038,0.006754364688002549,0.9744984477628461,last
MOEX,3,500,0.512,0.3114047159898812,0.4682614535997027,0.5555555555555556,0.009274732524899743,0.0005916239414866215,1.568255934032882,0.038,0.006819208698346893,0.9744984477628461,last
MOEX,5,500,0.496,0.5884545458772403,0.4523723541138067,0.5396886428344405,-0.05555784954268944,-0.02280632160862196,1.5924315136460794,0.018,0.00701668467296615,0.9911554664990548,last
VTBR,1,500,0.456,0.9779682652105365,0.41284403669724773,0.4998269297334718,-0.14022197991257723,-0.13314838708066742,1.4955023617494456,0.046,0.007865917403930674,0.9911554664990548,last
VTBR,2,500,0.484,0.7764352492375939,0.4404846519415505,0.5277593358514384,0.0899414649234465,-0.01720567681846606,1.549500025639105,0.044,0.007409225141224319,0.9911554664990548,last
VTBR,3,500,0.478,0.8481663435029607,0.43455017112738104,0.5217853120879786,-0.09406257561530204,-0.04750610840430309,1.5902887056472559,0.044,0.007653936510110816,0.9911554664990548,last
VTBR,5,500,0.466,0.941281892247928,0.4226999925744605,0.5098184814856409,-0.08122038312846985,-0.05953451637344335,1.7131733977373154,0.022,0.007665025181757404,0.9911554664990548,last
SBER,1,500,0.512,0.3114047159898812,0.4682614535997027,0.5555555555555556,0.0319127192101619,0.04712053702620721,0.7549064983131952,0.024,0.0026629719643421206,0.999610116343281,momentum5
SBER,2,500,0.426,0.999610116343281,0.38338181137240096,0.4697466321701727,-0.11268816536535202,-0.1131613335424851,0.7796107174665963,0.024,0.0028280711366718407,0.999610116343281,momentum5
SBER,3,500,0.486,0.7488128296233405,0.4424642011735621,0.5297492881453032,-0.07685872993732727,-0.024828056269715067,0.6858817487795317,0.024,0.0029018410145909054,0.999610116343281,momentum5
SBER,5,500,0.464,0.9510549859861879,0.4207274028995594,0.5078215696346657,-0.04394439094655123,-0.062085476926773665,0.7178836321287871,0.004,0.002801641521369021,0.999610116343281,momentum5
GAZP,1,500,0.498,0.5533548781086955,0.45435606501666037,0.5416744334574632,0.07215993356089653,-0.001962356644186175,0.6435968510788412,0.024,0.003898410753203125,0.999610116343281,momentum5
GAZP,2,500,0.496,0.5884545458772403,0.4523723541138067,0.5396886428344405,-0.019519504412548447,-0.014038685225469624,0.682136259478905,0.024,0.003600688279369891,0.999610116343281,momentum5
GAZP,3,500,0.486,0.7488128296233405,0.4424642011735621,0.5297492881453032,0.03402093274403086,0.009234404901061226,0.7657662548996585,0.024,0.0036380355093136433,0.999610116343281,momentum5
GAZP,5,500,0.48,0.826167910343493,0.43652763662029404,0.523777348120942,0.019486591080681757,-0.0204232968584108,0.6486670526068514,0.004,0.003930933849854912,0.999610116343281,momentum5
LKOH,1,500,0.528,0.11360664595976239,0.4841949689615891,0.5713780524006803,0.01603207680171358,0.07884436782781078,0.6150524871816702,0.024,0.0032017119359766246,0.999610116343281,momentum5
LKOH,2,500,0.5,0.5178323227766748,0.45634046916507415,0.5436595308349258,0.01524748169304827,-0.010211720369939925,0.6766869878850564,0.024,0.0030622003252732508,0.999610116343281,momentum5
LKOH,3,500,0.516,0.25118717037665955,0.4722406641485616,0.5595153480584495,-0.0641211836176085,-0.003149040898059364,0.6697307205669595,0.024,0.0030939222712660125,0.999610116343281,momentum5
LKOH,5,500,0.468,0.9300407372185135,0.4246732802775799,0.511814695308398,0.016425041623515043,0.012391670805472746,0.6980241673376275,0.004,0.0029888615026175077,0.999610116343281,momentum5
ROSN,1,500,0.51,0.3436816540401902,0.4662728891685752,0.5535746184608068,-0.019971966030711927,0.040182207971255275,0.7296509429339084,0.024,0.0035632412879403204,0.999610116343281,momentum5
ROSN,2,500,0.492,0.6563183459598099,0.44840701227596835,0.5357149816205261,-0.01404458794133666,-0.03981315611474533,0.6889024696393953,0.024,0.0036551206005310376,0.999610116343281,momentum5
ROSN,3,500,0.5,0.5178323227766748,0.45634046916507415,0.5436595308349258,-0.02420876347862002,-0.014705560121023342,0.6966099122276113,0.024,0.003711655198666372,0.999610116343281,momentum5
ROSN,5,500,0.464,0.9510549859861879,0.4207274028995594,0.5078215696346657,0.048473344275863764,0.009057203774473267,0.622733940882448,0.004,0.0037440896261290288,0.999610116343281,momentum5
NVTK,1,500,0.502,0.4821676772233252,0.4583255665425368,0.5456439349833396,0.07753812933641899,0.07820277774853776,0.7005795091246081,0.024,0.004290166583815087,0.999610116343281,momentum5
NVTK,2,500,0.504,0.44664512189130445,0.4603113571655595,0.5476276458861933,0.0263076661636887,0.012730470756791139,0.6902020320466224,0.024,0.0041826637436529175,0.999610116343281,momentum5
NVTK,3,500,0.482,0.8022446142825708,0.43850579699662956,0.5257686892704829,-0.020888986815148183,-0.021790866286934624,0.6947597607824618,0.024,0.00444381991676346,0.999610116343281,momentum5
NVTK,5,500,0.446,0.9930870168486119,0.4030056150135332,0.4898178437878044,-0.0027813084543317538,-0.051533708834375976,0.7416990948204396,0.004,0.00473959847288498,0.999610116343281,momentum5
TATN,1,500,0.472,0.9026958456960592,0.4286219475993197,0.5158050310384108,0.004717200561730816,-0.0017515968112714816,0.6661457693831501,0.024,0.00386328245066602,0.999610116343281,momentum5
TATN,2,500,0.504,0.44664512189130445,0.4603113571655595,0.5476276458861933,0.008445554054511454,0.006404566127574845,0.6864468135594192,0.024,0.0038190148938194142,0.999610116343281,momentum5
TATN,3,500,0.5,0.5178323227766748,0.45634046916507415,0.5436595308349258,0.0635513403356827,0.0463785976432533,0.653142276985772,0.024,0.0038995416472344677,0.999610116343281,momentum5
TATN,5,500,0.458,0.9728154910491661,0.41481382806562594,0.50182663989097,0.026515197524385803,-0.047670290707687406,0.6204964750136035,0.004,0.004081355575677195,0.999610116343281,momentum5
GMKN,1,500,0.496,0.5884545458772403,0.4523723541138067,0.5396886428344405,0.01740984430430187,-0.0027058800407058162,0.7106518358004394,0.03,0.004324658636393887,0.999610116343281,momentum5
GMKN,2,500,0.504,0.44664512189130445,0.4603113571655595,0.5476276458861933,0.011917810655160243,-0.03136858123911225,0.7146150607815271,0.03,0.004161381030617143,0.999610116343281,momentum5
GMKN,3,500,0.508,0.37713945567770435,0.4642850183794739,0.5515929877240316,-0.03889513608954822,0.032825239767894025,0.7698630318261797,0.03,0.00425484135546947,0.999610116343281,momentum5
GMKN,5,500,0.466,0.941281892247928,0.4226999925744605,0.5098184814856409,-0.02552232448404051,-0.032170774871168525,0.6898890829125096,0.008,0.004288693469561193,0.999610116343281,momentum5
PLZL,1,500,0.47,0.9172142910952068,0.4266472654581187,0.5138102116537354,-0.0945496928953666,-0.09780993052822423,0.7656261377462446,0.028,0.004284618083247914,0.999610116343281,momentum5
PLZL,2,500,0.496,0.5884545458772403,0.4523723541138067,0.5396886428344405,0.036482654827478096,0.0009903806702102416,0.6791848095564483,0.028,0.0038555326573147183,0.999610116343281,momentum5
PLZL,3,500,0.514,0.28051467762142235,0.47025071185469686,0.5575357988264379,0.024140986596242107,0.04282987166243499,0.720494587312969,0.028,0.004069090929387586,0.999610116343281,momentum5
PLZL,5,500,0.504,0.44664512189130445,0.4603113571655595,0.5476276458861933,-0.007509615179986008,0.03708991194730072,0.739051107379657,0.008,0.0039385497318305,0.999610116343281,momentum5
MAGN,1,500,0.462,0.9594838251953932,0.41875551183784954,0.5058239591704992,0.012316294732182988,-0.044626916284733344,0.6466049847071909,0.024,0.004764230344457697,0.999610116343281,momentum5
MAGN,2,500,0.508,0.37713945567770435,0.4642850183794739,0.5515929877240316,-0.010418808343188068,-0.015140075257427903,0.7506896873551547,0.024,0.004250008175762292,0.999610116343281,momentum5
